Titre,Est_Predateur
International Journal of Clinical and Diagnostic Research,1
International Journal of Sediment Research,0
New Valley Journal of Agricultural Science,0
Advance Educational Institute & Research Centre,1
Jurnal Administrasi Publik (Public Administration Journal),0
Calodema,1
"Journal of Adult Learning, Knowledge and Innovation",0
Romanian Medical Journal,0
Academic Research Publishing Group,1
STAR Protocols,0
Discovery Publication,1
Revista de Estudos de Cultura,0
Psychological Topics,0
Социальная психология и общество,0
LexCult,0
International Journal of Veterinary Science,1
Center for Global Research Development,1
International Journal of Computer Applications,1
Swan Open,1
Maǧallaẗ Kulliyyaẗ Al-Adāb - Ǧāmiʿaẗ Al-Fayūm,0
Microbiology Australia,0
The Science and Information Organization,1
Invention Disclosure,0
Simulacra,0
American Journal,1
American Association for Science and Technology,1
Biosciences International,1
Itinéraires,0
Thavan E ACT International Journals,1
International Journal of Innovative Research in Engineering & Multidisciplinary Physical Sciences,1
The Indonesian Journal of Socio-Legal Studies,0
Tidsskrift for boligforskning,0
International Journal of Medical Research and Pharmaceutical Sciences,1
AINSTIN Knowledge Hub,1
Royal Studies Journal,0
Progressive Science Publications,1
Athal Press & Media,1
The International Journal of Banking and Finance,0
Ciência Animal Brasileira,0
Gerontology and Geriatric Medicine,0
Circula,0
Journal of Medical Science and Technology,1
Ranah: Jurnal Kajian Bahasa,0
International Center for Business Research,1
Икономика и управление на селското стопанство,0
Revista Iberoamericana de Automática e Informática Industrial RIAI,0
International Journal of Advanced Computer Technology,1
Народы и религии Евразии,0
Turkish Journal of Emergency Medicine,0
Jurnal Pengabdian UNDIKMA,0
Pharma Publisher,1
Numerical: Jurnal Matematika dan Pendidikan Matematika,0
"Tordesillas, Revista de Investigación Multidisciplinar",0
Research and Innovation in Food Science and Technology,0
Journal of Pharmaceutical and Bioanalytical Science,1
International Journal of Advanced Research in Computer Science and Electronics Engineering,1
Scientific Research Journal of India,1
Advanced Research Publications,1
English Franca: Academic Journal of English Language and Education,0
Global Perspectives on Japan,0
"Micro, Macro & Mezzo Geoinformation",0
Time Journals,1
"Geoscientific Instrumentation, Methods and Data Systems",0
Kowsar Publishing,1
Agora International Journal of Economical Sciences,0
Food Biology,1
Central Bohemia University Publishing,1
European Medical Journal Respiratory,0
Turisztikai és Vidékfejlesztési Tanulmányok,0
Etcétera,0
Brain Informatics,0
Annals of Health Research,0
Journal of Systems Thinking in Practice,0
Innovare Academic Sciences,1
Brazilian Journal of Veterinary Medicine,0
Polimery w Medycynie,0
Journal of Automation and Control Engineering,1
PeerJ Materials Science,0
Revue du Droit des Religions,0
المجلة العلمية للاقتصاد والتجارة,0
Tactful Management Research Journal,1
KAAV Publications,1
International Organization of Scientific Research and Development,1
Journal of Movement Disorders,0
Ludic Language Pedagogy,0
Analele Banatului. Arheologie-Istorie,0
International Academy of Ecology and Environmental Sciences,1
Engenharia Agrícola,0
Society of Education,1
Teoliterária: Revista Brasileira de Literaturas e Teologias,0
Business Journalz,1
Buletin Teknologi Makanan,1
Journal of Neurology & Neuromedicine,1
Weberbauerella,1
International Academy for Advancement of Business Research,1
RAJ Group,1
Multilinguales,0
Institute for Research and Development India,1
International Journal of Computing Science and Information Technology,1
EFB Bioeconomy Journal,0
Griot: Revista de Filosofia,0
Journal of Parasitology Research,0
Mangabdi,0
AD Publications,1
International Journal of Computer Application and Engineering Technology,1
Management Journals,1
Seventh Sense Research Group Journals,1
پژوهش‌نامه حقوق اسلامی,0
Journal of Innovation and Community Engagement,0
Nuclear Sciences Scientific Journal,0
Maǧallaẗ Al-Iskandariyyaẗ Lil Buẖūṯ Al-Muḥāsabiyyaẗ,0
Ciencias Holguín,0
International Journal of Maritime Technology,0
Jurnal Tribologi,0
World Journal of Engineering Research and Technology,1
Вісник університету ім. А. Нобеля. Серія Філологічні науки,0
International Journal for Advanced Review and Research in Pharmacy,1
Health and Diversity,0
Asian Network for Scientific Information,1
Российский кардиологический журнал,0
Uniped,0
Expert Journals,1
Caspian Journal of Pediatrics,0
International Journal of Pharmaceutical Research and Applications,1
CSEE Journal of Power and Energy Systems,0
Journal of Acupuncture Research,0
American Society of Registered Nurses,1
Deutsche Entomologische Zeitschrift,0
International Journal of Applied Pharmaceutical & Biological Research,1
Gexin Publications,1
Ladder Publishing House,1
Вестник Московского Университета. Серия 22: Теория перевода,0
International Journal of Business Quantitative Economics and Applied Management Research,1
Open Knowledge Journals,1
Mediterranean Journal of Modeling & Simulation,1
"International Journal of Architecture, Civil Engineering and Urban Design",1
Journal of ELT and Applied Linguistics,1
International Journal of Innovation in Science and Mathematics,1
Journal of Neurodevelopmental Disorders,0
Newpubli,1
فصلنامه بورس اوراق بهادار,0
Erasmus Journal for Philosophy and Economics,0
Jurnal Sistem dan Manajemen Industri,0
Matter,0
International Journal of Psychology and Educational Studies,1
Biomedical & Pharmacology Journal,1
E-Cronicon,1
Turkish Endodontic Journal,0
Revista Contabilidade & Finanças,0
Tecnociencia Chihuahua,0
Readers Insight Publishers,1
agricultural engineering.eu,0
Zeszyty Prasoznawcze,0
Revista Ciencias Biomédicas,0
"International Proceedings of Chemical, Biological and Environmental Engineering",1
International Journal of Engineering & Science Research,1
Geopolítica(s),0
International Journal of Engineering Research & Science,1
Економічний вісник Державного вищого навчального закладу Український державний хіміко-технологічний університет,0
RechtIdee,0
Lex Electronica,0
International Journal of Multidisciplinary Health Sciences,1
Zdravotnícke listy,0
International Journal of Management and Business Studies,1
IoT,0
Science and Engineering Applications,1
Nuclei Online,1
ANIAV,0
Journal of Genetic and Environmental Resources Conservation,1
Cardiovascular Innovations and Applications,0
ELAD-SILDA,0
"Revista Eletrônica da Associação dos Geógrafos Brasileiros, Seção Três Lagoas",0
Meteorology,0
Medijska Istraživanja,0
Squalen,0
Botany Journal,1
Journal of Innovations in Applied Pharmaceutical Science,1
Potestas. Estudios del Mundo Clásico e Historia del Arte,0
Spiritual Healing,0
Zenith International Research and Academic Foundation,1
Research and Information Organization,1
International Journal of Emerging Sciences,1
International Journal of Engineering and Advanced Research Technology,1
International Institute of Informatics and Systemics,1
International Journal of Advanced Information Science and Technology,1
International Journal of Multidisciplinary Research and Development,1
Frontiers in Systems Neuroscience,0
Nordic Social Work Research,0
ERM Publications/Educational Research Multimedia & Publications,1
Renal Failure,0
Developing Country Think Tank Institute,1
Frontera Norte,0
Novus Scientia Journals,1
LiTheS. Zeitschrift für Literatur- und Theatersoziologie,0
Analisa: Jurnal Pengkajian Masalah Sosial Keagamaan,0
Al-Musannif,0
Український соціум,0
Academics World,1
Revue Géomatique et Gestion des Territoires,0
"Law, Environment and Development Journal",0
Khazanah Hukum,0
Дискурс профессиональной коммуникации,0
Extensión en Red,0
VertigO,0
Journal of Health Economics and Outcomes Research,1
International Journal of Research and Development in Technology & Management Sciences Kailash,1
European Journal of Chemistry,1
Социологический журнал,0
DeNovo Scientific Publishing,1
Interscience Open Access Journals,1
Supercomputing Frontiers and Innovations,0
Engineering Perspective,0
KambohWell Publisher Enterprises,1
Journal of Research in Education Sciences,0
International Journal of Advance Foundation and Research in Computer,1
Stress and Brain,0
SEAHI Publications & Academic Journals,1
Applied Functional Materials,0
Revista Minerva,0
Journal of Science Editing,1
J-PEK (Jurnal Pembelajaran Kimia),0
Figurationen des Übergangs,0
International Journal of Orthopaedics Sciences,1
Science Park Journals,1
Journal of Economics and Political Economy,1
Ideal Journal of Pure and Applied Sciences,1
Sexual and Reproductive Health Matters,0
Revista Română de Geografie Politică,0
CTR Publications,1
"Advances in Food Science, Sustainable Agriculture, and Agroindustrial Engineering",0
Journal of Smart Science and Technology,0
Revista Iberoamericana de las Ciencias de la Salud,1
Technology Innovation Management Review,0
International Journal of Green and Herbal Chemistry,1
Nosocchu,0
Cellular and Molecular Biology,1
Canadian Medical Education Journal,0
International Association for Academians,1
Research Integrity and Peer Review,0
Annali di Stomatologia,0
International Journal of Computer Science & Communication Security,1
Fundamental Research and Development International,1
CSCanada,1
Gut Pathogens,0
International Journal of Innovative Research in Medical Science,1
Bengal Journal of Otolaryngology and Head Neck Surgery,0
AIMS Neuroscience,0
‫سیاست متعالیه‏,0
International Journal of Food Properties,0
Dalton,0
Hanifiya,0
Siyar Journal,0
International Journal of Research In Advanced Engineering Technologies,1
Chemistry Research Journal,1
JournalsBank,1
Revista del IICE,0
CHIRONOMUS Journal of Chironomidae Research,0
Comptes Rendus. Mécanique,0
Cuadernos de Arqueología de la Universidad de Navarra,0
"Amoghsiddhi Education Society/AES/AES Journals in Engineering Technology, Management, and Sciences/AES E-JOURNALS",1
International Journal of Engineering and Applied Sciences,1
CRDEEP International Journals,1
Zeitschrift für Praktische Philosophie,0
International Journal of Remote Sensing and Geoscience,1
Revista Electrónica de las Ciencias Computacionales e Informática,1
Instaci,1
International Journal of Advances in Power Systems,1
International Journal of Toxicological and Pharmacological Research,1
International Journal of Psycho-Educational Sciences,1
Cresco Online Publishing,1
Journal of Metaverse,0
Jurnal Ilmiah Kesehatan Sandi Husada,0
مطالعات نوین در مدیریت و سازمان,0
Ожирение и метаболизм,0
Journal of Religion & Film,0
Research & Analysis Journals,1
International Journal of Pharmaceutical Research and Bioscience,1
Computer Science Chronicle,1
International Journal of Biological and Chemical Sciences,1
International Journal of Language Sciences,1
Ebioscholar,1
Arab Studies Quarterly,0
SS Publications,1
Indonesian Journal of Chemistry,0
Research Dimension,1
Science and Technology Publishing,1
International Journal of Advanced Robotic Systems,0
Journal of Languages for Specific Purposes,0
Complexity,0
International Journal of Pharma and Bio Sciences,1
Journal of Advanced Agricultural Technologies,1
Energy and AI,0
Visi Jurnal Akademik,1
Journal of Marine Science and Engineering,0
macroJournals,1
پژوهشنامه حلال,0
Online Journal of Communication and Media Technologies,1
Project Innovation [alt],1
Учёные записки Санкт-Петербургского государственного медицинского университета им. Акад. И.П. Павлова,0
Muhammadon Centre for Research and Development,1
Alternatives Rurales,0
Academia Molecular Biology and Genomics,0
Dental Journal,0
World Journal of Pediatric Surgery,0
Klausula,0
American Scientific Publishers,1
Belgrade Philosophical Annual,0
JCIS Open,0
International Maritime Health,0
Jurnal Olahraga Pendidikan Indonesia,0
Journal of Bone and Joint Infection,0
Croatian Journal of Food Science and Technology,0
International Journal of Research in Science & Technology,1
河南理工大学学报. 自然科学版,0
Journal of Human and Work,0
Brazilian Journal of Information Science,0
Aile Dergisi,0
Open Access Pub [alt],1
Информатика и автоматизация,0
Innovative Journals,1
International Biology Review,1
Journal of Business Management and Economic Studies,1
iJARS Group,1
Environmental Research: Infrastructure and Sustainability,0
The Pharma Research,1
Pharmaceutical and Chemical Journal,1
International Journal of Scientific Research and Management,1
International Journal of Emerging Trends in Pharmaceutical Sciences,1
Archiwum Filozofii Prawa i Filozofii Społecznej,0
Academic Medicine & Surgery,0
International Journal of Advances in Management and Economics,1
Human Resource Management Academic Research Society,1
Research and Reports in Urology,0
Interscience Journals,1
Orbis Tertius,0
Ekotemas,0
International Journal of Research in Computer Science,1
Scholarly and Academic Research Journals,1
Journal of Applied Biology & Biotechnology,1
Viatica,0
Práctica Arqueológica,0
Advances in Biomedicine and Pharmacy,1
Asia & the Pacific Policy Studies,0
FEMS Yeast Research,0
Annals of International Medical and Dental Research,1
Надежность и качество сложных систем,0
Scripta Islandica,0
Ayupharm: International Journal of Ayurveda and Allied Sciences,1
"She Ji: The Journal of Design, Economics and Innovation",0
Pyxis Journal,1
Styles of Communication,0
Фармация и фармакология (Пятигорск),0
Averroes European Medical Journal,1
Transplantation Direct,0
Розвиток методів управління та господарювання на транспорті,0
Physical Review X,0
Contemporary Economy,0
Jurnal Ilmiah Akuntansi dan Bisnis,0
Asian Pacific Journal of Natural Products,1
Perspective Politice,0
Law and Method,0
Academic Research Publishing House,1
Lethaia,0
Biociencias,0
International Journal of Computer Science and Network Security,1
آثار الرافدين,0
Pharma Research Library,1
International Archives of Medicine,1
Criando,0
English Language Education Reviews,0
International Journal of Behavioral Nutrition and Physical Activity,0
Medical Journal of Shree Birendra Hospital,0
Imprints Open Access,1
Nobel International Journals,1
"Revista Seguridad, Ciencia & Defensa",0
ELVEDIT.COM,1
Academic Research Publishing Agency,1
ScienceScript,1
Ancilla Iuris,0
National Journal of Medical and Dental Research,1
Journal of Wetlands Environmental Management,0
Spring City Culture International Group Pte Ltd.,1
Advances in Human-Computer Interaction,0
Проблеми інженерно-педагогічної освіти,0
International Association of Advances in Engineering and Technology,1
Athens Institute for Education and Research,1
Review of Research,1
International Journal for Scientific Research & Development,1
International Journal of Innovative Research & Advanced Studies,1
European Clinical Respiratory Journal,0
Coaching & Sport Science Review,0
Revista Internacional de Formação de Professores,0
Política Internacional,0
RIMCIS,0
Atmospheric Measurement Techniques,0
Crop and Environment,0
Journal of Medical Science and Clinical Research,1
Науковий вісник Львівського національного університету ветеринарної медицини та біотехнологій імені С.З. Ґжицького. Серія: Харчові технології,0
International Journal of Management and Research,1
iMetaOmics,0
International Journal of Information Research and Review,1
Social Anthropology,0
Primatika,0
Comparative Cytogenetics,0
Institute of Advanced Scientific Research,1
Jahrbuch für Wirtschaftsgeschichte,0
SCIRES-IT,0
Singaporean Journals,1
"Journal of Computer Systems, Networks, and Communications",0
پژوهشنامه خراسان بزرگ,0
Salud y Bienestar Colectivo,0
Humanités Numériques,0
American Journal of Innovative Research and Applied Sciences,1
International Journal of Computer Technology and Applications,1
International Journal of Advanced Academic Research,1
International Journal of Bio-Resource and Stress Management,0
مجله ایرانی آموزش در علوم پزشکی,0
International Journal of Current Research and Review,1
Methis: Studia Humaniora Estonica,0
Муниципалитет: экономика и управление,0
International Journal of Educational Research and Innovation,0
Journal of Traffic and Transportation Engineering (English ed. Online),0
Signos do Consumo,0
International Journal of Agriculture and Environmental Research,1
International Journal of Current Business and Social Sciences,1
International Health Trends and Perspectives,0
Poredbeno Pomorsko Pravo,0
Cahiers d’Études Germaniques,0
International Journal of Contemporary Educational Research,0
"International Advanced Research Journal in Science, Engineering and Technology",1
AIDS Research and Treatment,0
Journal of Language and Literature,1
Aksis: Jurnal Pendidikan Bahasa dan Sastra Indonesia,0
Cultura Económica,0
International Journal of Engineering and Technology,1
Global Science Center LP,1
Spring International S&T Publishing Media Co.,1
Ultra Engineer,1
Ayushdhar,1
Genetics and Molecular Research,1
Revista de la Facultad de Ciencias,0
International Journal of Language and Applied Linguistics,1
Culture and Civilization,0
Nexus Academic Publishers,1
Global Forum on Arts and Christian Faith,0
Challenges,0
EverScience Publications,1
Nursing Practice Today,0
Cultura e Scienza del Colore,0
Sudan Journal of Medical Sciences,0
Journal of Aceh Physics Society,0
Revista Controversia,0
Hikari Ltd.,1
International Journal of Science Commerce and Humanities,1
Silicon Valley Publishers,1
International Journal of Environment,1
International Journal of Emerging Engineering Research and Technology,1
Ceramics,0
Faṣlnāmah-i Farhang Mushavirah va Ravān/Darmānī,0
Fundamental Journals,1
International Journal of Pharmaceutical Sciences and Business Management,1
International Forum of Researchers Students and Academician,1
Canadian Jewish Studies,0
Communications Materials,0
International Journal of Interdisciplinary and Multidisciplinary Studies,1
International Multispeciality Journal of Health,1
Revista Española de Nutrición Humana y Dietética,0
مجلة العمارة وبيئة الطفل,0
Разработка и регистрация лекарственных средств,0
Survey Methods - Insights from the Field,0
International Journal of Research and Engineering,1
Pharmacy,0
Benha Veterinary Medical Journal,0
Journal of Scientific Research in Physical & Mathematical Sciences,1
Discern,0
Dinamika Informatika,0
Scholink,1
Palgo Journals,1
Neurobiology of Pain,0
Innovative Publication,1
Journal of Contemporary Medical Education,1
Junior Scientific Researcher,1
Revista Chicomoztoc,0
Prospectiva,0
"National Journal of Physiology, Pharmacy, and Pharmacology",1
Mustang Journals,1
KSP Journals,1
Lecolink Research Journals,1
Scientific Journal of Astana IT University,0
"Biosciences, Biotechnology Research Asia",1
International Journal of Inventive Engineering and Sciences,1
SM Group,1
Journal of Mathematical Sciences and Modelling,0
Revista Argentina de Terapia Intensiva,0
Academy of Business & Scientific Research,1
"eJM Science, eJManager",1
Centre of Excellence for Scientific & Research Journalism,1
Case Reports in Pulmonology,0
Clínica Contemporánea,0
Source Journals,1
npj Systems Biology and Applications,0
Advances in Women’s Studies,0
Global Journal of Advanced Engineering Technologies and Sciences,1
International Journal of Innovative Science Engineering and Technology,1
Journal of Evidence Based Medicine and Healthcare,1
LAR,1
E-International Scientific Research Journal Consortium,1
Blue Ocean Research Journals,1
Dialéctica,0
International Journal of Research GRANTHAALAYAH,1
International Journal of Emerging Trends in Electrical and Electronics,1
Qingres,1
URO Journals,1
Environmental Research: Energy,0
People’s Journal of Scientific Research,1
Tidsskrift for Den norske legeforening,0
"Realidad, Tendencias y Desafíos en Turismo",0
"Омский научный вестник: Серия ""Общество. История. Современность""",0
Cadernos de Geografia,0
Mazahibuna: Jurnal Perbandingan Mazhab,0
JMIRx Med,0
Jurnal Teknik ITS,0
"Meta: Research in Hermeneutics, Phenomenology and Practical Philosophy",0
Institute of Integrative Omics and Applied Biotechnology,1
Electronics,0
International Journal of Current Pharmaceutical Review and Research,1
Histories,0
Scripta Ethnologica,0
Fatigue of Aircraft Structures,0
Boletim Goiano de Geografia,0
International Journal of Health Sciences and Research,1
Archives Des Sciences Journal,1
Bioresearch Bulletin,1
مجلة جامعة كويه للعلوم الانسانية والاجتماعية,0
پژوهش‌های راهبردی مسائل اجتماعی ایران,0
Journal of Evolution of Research in Medical Microbiology,1
IJEE (Indonesian Journal of English Education),0
BioDiscovery,0
Brain Pathology,0
مجله آب و خاک,0
European Journal of Management Issues,0
JAKPP (Jurnal Analisis Kebijakan dan Pelayanan Publik),0
International Journal of Basic Sciences and Applied Computing,1
Convergence Information Society,1
Micronesica,0
"International Journal of Electrical, Electronics and Computers",1
Poljoprivreda,0
Проблеми трибології,0
Arti Musices,0
Journal of Innovative Biology,1
Известия Саратовского университета. Новая серия: Физика,0
Libri,0
Computer Science Journal,1
Chronologia,0
Pencil Academic Press,1
Revista de Salud Ambiental,0
International Journal of Research in Education and Science,1
Population Medicine,0
Les Cahiers d’EMAM,0
Revista Científica Ciencias de la Salud,0
Ephemera: Theory and Politics in Organization,0
Journal for Art Market Studies,0
Journal of Petroleum and Mining Engineering,0
Journal of Applied Management and Investments,1
International Journal of Applied Research & Studies,1
International Journal of Innovation Science and Research,1
Aksioma: Jurnal Program Studi Pendidikan Matematika,0
Стратегические решения и риск-менеджмент,0
Çankırı Karatekin University Journal of Faculty of Letters,0
Geo UERJ,0
Kozmenko Science Publishing,1
Journal of Animal and Poultry Sciences,1
Between,0
Al-Mutsla: Jurnal Ilmu-Ilmu Keislaman dan Kemasyarakatan,0
Organizacijų Vadyba: Sisteminiai Tyrimai,0
Фізико-математична освіта,0
Revista Iberoamericana de Ciencias de la Actividad Física y el Deporte,0
Journal of Sustainable Development of Transport and Logistics,0
CLEI Electronic Journal,0
"International Journal of New Trends in Arts, Sports & Science Education",1
Scientific Research Gate,1
Cumhuriyet İlahiyat Dergisi,0
Zant World Press,1
Journal of Modern Science And Technology,1
International Journal of Human and Health Sciences,0
Población & Sociedad,0
Indian Journal of Scientific Research and Technology,1
Journal of Technology Education,0
Journal of Advances in Science and Technology,1
Asalibuna,0
Maǧallaẗ Kulliyyaẗ Al-Tarbiyyaẗ Bil ʿarīš,0
Journal of Novel Applied Sciences,1
Research Open,1
International Academy of Computer & IT Engineering,1
Discover Cities,0
Technical Journal of Engineering and Applied Sciences,1
Direct Research Journals,1
Uptodate Research Publication,1
International Journal of Pharmaceutical and Biological Science Archive,1
DAV International Journal of Science,1
Phycology,0
ICTACT Journal on Image and Video Processing,0
Revista da Educação Física,0
International Journal of Innovative Concepts in Research,1
Богословські роздуми: Східноєвропейський журнал богословʼя,0
Norwegian Journal of Development of the International Science,1
Trabalho & Educação,0
Electronic Journal of Engineering and Technology,1
Reusam,0
Rebej,0
Avicenna Medical Research,0
International Journal of Scientific Research and Application,1
Games,0
Revista Linhas,0
International Journal of Current Advanced Research,1
Вивліоѳика,0
Italian Political Science,0
GéoProximitéS,0
Salus Cultura,0
Research Publish Journals,1
International Journal of Research in Engineering and Advanced Technology,1
PLOS Climate,0
Imagens da Educação,0
International Association for Engineering and Management Education,1
Folia Medica Indonesiana,0
Journal of Infection in Developing Countries,0
Pakistan Journal of Ophthalmology,0
Clinical Transplantation and Research,0
International Postgraduate Network,1
"International Journal of Linguistics, Social and Natural Sciences",1
İdrak Dini Araştırmalar Dergisi,0
Genus,0
One Health,0
Journal of Information Systems and Informatics,0
Dios y el Hombre,0
International Journal of Pharmacy and Technology,1
Philippine Journal of Ophthalmology,0
Korean Journal of Medical Education,0
Journal of Wildlife and Parks,0
Cuadernos de Investigación Filológica,0
Онкогематология,0
Excellent Publishers,1
Global Science Publishing Group,1
علوم اجتماعی دانشگاه فردوسی مشهد,0
Лëд и снег,0
International Journal of Innovative Research and Studies,1
Italian Journal of Science & Engineering,1
ACS Omega,0
The Open Arts Journal,0
Humanitas: Indonesian Psychological Journal,0
Journal of Contemporary Medical Sciences,0
Hadith,0
"International Journal of Literature, Linguistics and Translation Studies",0
IET Networks,0
Indonesian Journal of Counter Terrorism and National Security,0
Egyptian Journal of Health Care,0
Journal of Internet Banking and Commerce,1
Cifra: Право,0
Elite Research Journals,1
Pulsus Group,1
Interdisciplinary Journal of Research in Business,1
International Technical Sciences Journal,1
New Century Science Press,1
Archives of Agronomy and Soil Science,0
Magis: Revista Internacional de Investigación en Educación,0
The Journal of the Sylvia Townsend Warner Society,0
Monaldi Archives for Chest Disease,0
Journal of Investigational Biochemistry,1
Sport i Turystyka,0
The International Journal of Science & Technoledge,1
Geoconservation Research,0
Nadwa,0
Advances in Difference Equations,0
Régiókutatás Szemle,0
Scholars Scitech Research,1
Jurnal Nusantara Medika,0
Advanced Science and Engineering Technology Institute,1
InternationalJournals.co.in,1
Tourism and Heritage Journal,0
Journal of Applied Botany and Food Quality,0
Espaço Pedagógico,0
Tintas : Quaderni di Letterature Iberiche e Iberoamericane,0
Reinwardtia,0
Arhiv za Higijenu Rada i Toksikologiju,0
PBS Journals,1
Anais da Academia Brasileira de Ciências,0
Selcuk Dental Journal,0
International Journal of Technical Research and Innovation,1
Journal of Business Management and Accounting,0
Modern Behavioral Science,1
الدراية,0
Wyno Academic Journals,1
British Biomedical Bulletin,1
Comunicación y Género,0
International Journal of Pharmacy & Industrial Research,1
Information Engineering Research Institute,1
Veterinary Evidence,0
ElmCore Journals,1
Philosophy and the Mind Sciences,0
Journal of IMAB,1
Majalah Kardiologi Indonesia,0
"IET Generation, Transmission & Distribution",0
The 5th Publisher,1
Global Business Research Journals,1
Humanus: Jurnal Ilmiah Ilmu-ilmu Humaniora,0
Environmental DNA,0
Annals of Representation Theory,0
International Journal of Medicobiologial Research,1
Aula de Encuentro,0
FEMS Microbiology Reviews,0
Rheumato,0
Coltharp Institute,1
Filozofia i Nauka,0
International Journal of Pharmaceutical and Phytopharmacological Research,1
Revista da Fundarte,0
Revista de Odontologia da UNESP,0
Journal of Water and Environmental Nanotechnology,0
STEMedicine,0
Integrated Academic Journals,1
AULA Revista de Humanidades y Ciencias Sociales,0
David Publishing,1
Gaoyuan qixiang,0
Revista Gestão & Sustentabilidade,0
"Journal of Accounting, Ethics & Public Policy",1
Tropical Plant Research,1
Health Economics and Management Review,0
Íconos,0
"Здоров’я, спорт, реабілітація",0
Analecta,0
المجلة العربية لعلم الاجتماع,0
"Geochemistry, Geophysics, Geosystems",0
Open Research and Science Library,1
International Journal for Research in Engineering Application & Management,1
Global Journal of Management Science and Technology,1
Japanese Dental Science Review,0
International Journal of Computer Science Issues,1
Asian Research Consortium,1
Zbornik Znanstvenih Razprav,0
Living Reviews in Solar Physics,0
Hungarian Journal of Industry and Chemistry,0
International Journal of Advanced Research in Education & Technology,1
Balkan Medical Journal,0
Journal of Trace Elements and Minerals,0
Pedagogika. Studia i Rozprawy,0
Journal of Accounting and Finance in Emerging Economies,0
Las Torres de Lucca,0
Jurnal KATA: Penelitian tentang Ilmu Bahasa dan Sastra,0
Fronteiras,0
Közigazgatási és Infokommunikációs Jogi PhD Tanulmányok,0
Isegoría,0
Scientific Journals,1
JAI (Jurnal Anestesiologi Indonesia),0
Regap,0
"International Journal of English Language, Literature and Translation Studies",1
"Journal of Management and Business Administration, Central Europe",0
International Journal of Technology Enhancements and Emerging Engineering Research,1
Eurasian Publications,1
Системный анализ и прикладная информатика,0
Ab Intus,0
"Zero: Jurnal Sains, Matematika, dan Terapan",0
Elixir Online  Journal,1
Bionano Frontier,1
Valley International Journals,1
Advanced Powder Materials,0
Biophysics Reports,0
Aging Medicine,0
Xi'an Gongcheng Daxue xuebao,0
Historia: Jurnal Pendidikan Sejarah FKIP UM Metro,0
Comhumanitas,0
Research and Practice in Thrombosis and Haemostasis,0
Indonesian Contemporary Nursing Journal,0
Annals of Thoracic and Cardiovascular Surgery,0
JKS (Jurnal Kedokteran Syiah Kuala),0
Contree,0
"Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Bìologìâ, Ekologìâ",0
Revista de Estudios e Investigación en Psicología y Educación,0
Signpost e Journals,1
deSignis,0
Darsgah-e-Ahlebait,1
International Journal of Innovative Technologies,1
1088 Email Press,1
Global Researchers Journals,1
Journal of Research in Biology,1
Engineering Journals/Engg Journals Publications,1
Cahiers de Psychologie Politique,0
Researchjournali,1
Journal of Science and Research,0
TSPublications [Link dead as of 2013-08-23],1
European Journal of Neurology,0
GigaScience,0
International Journal of Fauna and Biological Studies,1
International Journal of Built Environment and Sustainability,0
International Journal of Computer Applications in Engineering Sciences,1
Ijtimā'iyya,0
Kajian Linguistik dan Sastra,0
Addiction Neuroscience,0
Australasian Centre for Research and Development,1
International Journal of Advanced Research in Computer Science and Software Engineering,1
International Journal of Research & Development Organisation,1
Case Reports in Women's Health,0
Jurnal Akuntansi Bisnis,0
"Społeczeństwo, Edukacja, Język",0
International Journal of Network Service and Technologies,1
Current Research in Immunology,0
International Online Medical Council,1
Medicus,0
Physiologia,0
Didactic Journals,1
Tábano,0
International Journal of Application or Innovation in Engineering & Management,1
Turkish Journal of Diaspora Studies,0
DAMA International,1
Bìblìotečnij vìsnik,0
Global Journal of Medical and Health Sciences,1
Prion,0
Acta Universitatis Carolinae: Philologica,0
Thomson & Ryberg Publications,1
Progress in Physics,1
Journal of Economics and Engineering,1
Journal of Education and Social Science,1
American Journal of Advanced Agricultural Research,1
Research |,1
"Journal of Communications Technology, Electronics and Computer Science",1
International Journal of Computer Science and Software Engineering,1
European International Journal of Science and Technology,1
Herald Scholarly Open Access,1
المجلة العلمية للبحوث التجارية - جامعة المنوفية,0
RP3. Revista de Pesquisa em Políticas Públicas,0
International Journal of Law Research,1
Dígitos,0
Journal of Theoretical and Applied Vibration and Acoustics,0
Journal of Advanced Lung Health,0
APL Materials,0
History Studies,0
Journal of Islamic Education Management,0
Australian Society for Commerce Industry & Engineering,1
The Pinnacle,0
"International Journal of Latest Technology in Engineering, Management & Applied Science",1
Imagining SoTL,0
2425 Publishers,1
International Journal of Information and Communication Technology Research,1
Human-Wildlife Interactions,0
Investigaciones Históricas,0
Panacea Research Library,1
Studia Universitatis Moldaviae: Stiinte reale si ale naturii,0
Engineering Research Journal,1
Journal of Nursing Practice,0
Fenmo yejin jishu,0
Global Cardiology Science & Practice,0
Contratexto,0
Quaderni di Linguistica e Studi Orientali,0
nternational Journal of Research in Engineering and Science,1
Al-Misbah: Jurnal Islamic Studies,0
International Journal of Mathematical Sciences & Applications,1
International Journal of Research Culture Society,1
International Journal of Reviews in Computing,1
Al-Mustansiriyah Journal of Science,0
Quaternary,0
"International Journal of History, Arts and Culture",1
Platform Modernisering Strafvordering,0
International Journal of Research in Agriculture and Forestry,1
International Journal of Qualitative Research,0
Turkish Journal of Scientific Research,1
International Journal of Engineering and Computer Science,1
IndianResearchJournals.Com,1
